Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Inland Saline Lakes,SA,39,8290.0,386,0.046562,-31.0,138.0,1.56e-07,2.898695,0.186796,0.206049,1e+31,1e+31,1.38708,0.2102,711.5046,0.419256,0.00877637229859829,0.0011230987729504,0.0022461975459009,0.0033692964352667
Lake Eyre,SA,40,9690.0,273,0.028173,-28.4667,138.6167,3.19e-08,21.92535,0.15311,0.2432,1e+31,1e+31,1.32325,0.213154,463.0254,0.370727,0.003970794379711151,0.0002905922592617,0.0005811845185235,0.0008717768359929
Dalhousie Springs,SA,41,190.0,60,0.315789,-26.1833,135.4,0.0,67.4535,0.185732,0.0,1e+31,1e+31,1.324341,0.215513,571.6799,0.395844,0.006820053327828646,0.0008264243951998,0.0016528487903997,0.0024792731273919
Daly River Middle Reaches,NT,43,16.5,19,1.151515,-13.7667,130.7,0.000796,17.2033,1.07162,146.2431,92.52475,0.000183,1.167135,0.156455,180.1397,0.260952,0.3431550860404968,0.0597814619541168,0.2092351168394088,0.4073679745197296
Karinga Creek Palaeodrainage System,NT,44,300.0,29,0.096667,-25.2167,132.0,-4.66e-09,13.29896,0.26218,0.247711,1e+31,1e+31,1.26052,0.189812,528.669,0.361996,0.012812891975045204,0.0010709891794249,0.0021419783588498,0.0032129676546901
Lake Amadeus,NT,45,1037.0,13,0.012536,-24.4667,130.4833,4.38e-06,18.54515,0.29146,0.024445,1e+31,1e+31,1.270201,0.213095,434.6922,0.385234,0.013156171888113022,0.0011564159067347,0.0023128318134695,0.003740310203284
Borroloola Bluebush Swamps,NT,46,0.9,2,2.222222,-16.05,136.275,0.000375,17.159,0.76968,36.4514,116.836,0.004403,1.050785,0.14084,151.85,0.249383,0.43873053789138794,0.3088676929473877,0.3817582130432129,0.4613153040409088
Corella Lake,NT,47,150.0,20,0.133333,-18.6306,135.5972,-1.36e-06,0.929704,0.485574,0.024323,131.485,0.019506,1.258595,0.147186,375.98,0.267237,0.039880044758319855,0.0022351532243192,0.0044703064486384,0.0067054601386189
Eva Downs Swamp,NT,48,170.0,35,0.205882,-18.1,134.7667,1.81e-05,0.601142,0.517364,0.033984,95.3278,0.003986,1.275096,0.155932,383.7503,0.272332,0.047868892550468445,0.0025616507045924,0.0051233014091849,0.0076849521137773
Lake de Burgh,NT,49,350.0,37,0.105714,-18.9,135.55,7.26e-06,0.667228,0.404609,0.191015,1e+31,1e+31,1.313238,0.169973,434.29,0.337256,0.6029489636421204,0.5246122479438782,0.5591573715209961,0.6140201091766357
Lake Sylvester,NT,50,410.0,66,0.160976,-18.8333,135.6667,-1.18e-06,1.13595,0.497973,2.81972,132.32,0.007135,1.32939,0.169796,491.5197,0.343006,0.038546521216630936,0.0022126347757875,0.0044252695515751,0.0066379038617014
Lake Woods,NT,51,50.9,97,1.905697,-17.5833,133.4167,1.11e-05,17.09165,0.561977,0.018831,1e+31,1e+31,1.271383,0.153397,360.1932,0.271829,0.09850574284791946,0.0552504621446132,0.060370597988367,0.0667150914669036
Tarrabool Lake,NT,52,2200.0,46,0.020909,-18.4167,134.9167,1.11e-05,0.556741,0.523041,0.135196,128.391,0.002569,1.299958,0.159297,389.0182,0.321884,0.049187175929546356,0.002467832295224,0.0049356645904481,0.0074034966528415
Birrindudu Waterhole,NT,53,190.0,30,0.157895,-18.4639,129.6,1.9e-05,21.97873,0.678981,2.28285,137.9435,0.000707,1.2737,0.150774,356.935,0.281204,0.04180275648832321,0.0025452601257711,0.0050905202515423,0.0076357806101441
Nongra Lake,NT,54,60.0,26,0.433333,-18.1972,129.75,2.1e-05,43.7702,0.671454,0.315091,132.463,9.84e-05,1.303226,0.169688,468.5547,0.279056,0.04360603913664818,0.0026800336781889,0.0053600673563778,0.0080401012673974
Kakadu National Park,NT,55,13759.4,1409,0.102403,-12.5,132.5,0.001041,4.44356,1.21411,0.922588,80.2649,0.00328,1.038797,0.193913,114.4464,0.256612,0.27540943026542664,0.0065598678775131,0.0720645934343338,0.3198391199111938
Katherine River Gorge,NT,56,1.5,8,5.333333,-14.3167,132.45,0.000886,37.7513,0.97241,68.8684,103.653,8.18e-05,1.202602,0.161019,247.0033,0.256544,0.2760394513607025,0.1024891585111618,0.1602144837379455,0.2514514327049255
Lake Surprise (Yinapaka),NT,57,8.0,53,6.625,-20.2,131.75,1.35e-05,7.02025,0.463002,10.2692,1e+31,1e+31,1.28679,0.18357,391.1868,0.334425,0.01913820207118988,0.0015194891020655,0.0030389782041311,0.0045584673061966
Adelaide River Floodplain System,NT,58,1348.0,706,0.523739,-12.1667,131.1667,0.001001,16.0579,1.26535,0.979679,81.6976,0.010667,1.009421,0.144721,123.1696,0.289858,,,,
Arafura Swamp,NT,59,714.0,743,1.040616,-12.3833,134.7167,0.001019,14.1077,1.12785,22.05747,88.385,0.000747,1.001365,0.133454,118.2449,0.261268,0.26608213782310486,0.0052954219281673,0.0416627414524555,0.2928703427314758
BlythÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂCadell Floodplain and Boucaut Bay System,NT,60,355.0,101,0.284507,-12.0,134.3333,0.000781,9.67074,1.14144,47.5565,72.0537,0.000273,0.978358,0.146612,134.1738,0.26944,,,,
Cobourg Peninsula System,NT,61,840.0,508,0.604762,-11.1167,131.75,0.000886,12.3688,1.14269,0.880463,87.0458,0.005562,0.953509,0.164397,94.56643,0.258587,,,,
DalyÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂReynolds FloodplainÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂEstuary System,NT,62,1593.0,333,0.20904,-13.1,130.1167,0.000932,49.08385,1.10266,3.32868,83.369,0.011322,1.27235,0.191771,130.4982,0.290748,,,,
Finniss Floodplain and Fog Bay System,NT,63,813.0,414,0.509225,-12.7333,130.15,0.001379,3.130725,1.18603,1.44099,78.4573,0.0,0.947388,0.144134,91.98996,0.259214,,,,
Mary Floodplain System,NT,64,1276.0,518,0.405956,-12.2,131.5167,0.000968,27.385,1.21471,1.19021,79.8249,0.002401,0.981765,0.111855,80.07323,0.228971,,,,
Moyle Floodplain and Hyland Bay System,NT,65,481.0,154,0.320166,-13.8833,129.5833,0.000812,3.98281,1.09628,0.857599,1e+31,1e+31,1.298547,0.174973,193.851,0.345889,,,,
Murgenella-Cooper Floodplain System,NT,66,815.0,238,0.292025,-11.6,132.5667,0.000983,20.45372,1.16943,18.5741,85.2422,0.003223,1.056074,0.214884,128.9367,0.290566,,,,
Legune Wetlands,NT,67,90.0,26,0.288889,-15.2639,129.3806,0.000228,5.63094,1.10178,0.613761,1e+31,1e+31,1.143116,0.187626,213.9469,0.278868,0.0988372340798378,0.0027782460674643,0.0055564921349287,0.0226054061204195
Mount Bundey Training Area ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂMary River Floodplain,NT,68,1050.0,4,0.00381,-13.2,131.1833,0.0007,4.60237,1.15933,7.36336,81.8036,0.00283,1.068445,0.135782,113.7112,0.259733,0.2430536299943924,0.0057452162727713,0.0304715894162654,0.2062692195177078
Blue Lake (Kosciuszko),NSW,69,0.14,118,842.8571,-36.4,148.3167,0.00046,498.344,0.805541,1.87439,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.3987092673778534,0.2631441652774811,0.3724328279495239,0.4666471779346466
"Kosciusko Alpine Fens, Bogs and Lakes",NSW,70,0.3,2,6.666667,-36.2667,148.1667,6.08e-05,278.486,0.99235,0.110304,1e+31,1e+31,1.023678,0.086597,165.1167,0.260819,0.2852075397968292,0.0300630275160074,0.1553860008716583,0.3380926251411438
Bulloo Overflow/Carypundy Swamp,NSW,71,1785.6,39,0.021841,-29.0,142.2833,5.53e-06,8.773815,0.213284,0.006501,1e+31,1e+31,1.432814,0.277258,867.1947,0.49176,0.010530084371566772,0.000796643900685,0.00159328780137,0.0025468228850513
Salisbury Lake (Lake Altibouka),NSW,72,5.65,3,0.530973,-29.8167,142.75,-3.08e-12,4.31978,0.229158,0.000876,1e+31,1e+31,1.449158,0.308706,857.73,0.539064,0.008749671280384064,0.0007422812050208,0.0014845624100416,0.0022268437314778
Gwydir Wetlands,NSW,73,1021.2,349,0.341755,-29.1,149.2667,0.000998,44.88527,1.148267,22.27013,30.9251,0.149809,1e+31,1e+31,1e+31,1e+31,0.36169466376304626,0.3179696500301361,0.3364089131355285,0.3552777469158172
Macquarie Marshes,NSW,74,2000.0,680,0.34,-30.5,147.4667,6.45e-06,7.511205,0.418434,0.10002,1e+31,1e+31,1.780879,0.167384,741.7812,0.540727,0.459949791431427,0.3447341620922088,0.416399598121643,0.4917837381362915
Menindee Lakes,NSW,75,450.0,219,0.486667,-32.1667,142.1667,2.18e-06,12.91605,0.384287,258.583,1e+31,1e+31,1.487707,0.230294,890.8062,0.519881,0.009371321648359299,0.0006778695969842,0.0013557391939684,0.0025070034898817
Narran Lakes,NSW,76,300.0,324,1.08,-29.6833,147.2833,3.93e-06,8.653545,0.401454,0.065295,1e+31,1e+31,1.69177,0.177223,857.1708,0.538144,0.22840631008148193,0.1962233036756515,0.2093253582715988,0.2222196161746978
Paroo River Distributary Channels,NSW,77,7200.0,239,0.033194,-29.5,143.4667,-4.27e-11,32.69145,0.258767,9.43e-06,1e+31,1e+31,1.433672,0.337009,806.3317,0.495498,0.013254073448479176,0.0039419732056558,0.0054850745946168,0.0071211890317499
Yantabulla Swamp (Cuttaburra Basin),NSW,78,372.0,261,0.701613,-29.25,144.85,-2.79e-09,4.23448,0.286847,0.230323,1e+31,1e+31,1.45703,0.328136,823.4156,0.535521,0.3093617558479309,0.2324561029672622,0.2654188573360443,0.3041945099830627
Darling Anabranch Lakes,NSW,79,2690.0,106,0.039405,-33.0333,141.5833,-8.65e-11,20.42276,0.259916,0.008291,1e+31,1e+31,1.453088,0.229499,838.7219,0.488063,0.07682038843631744,0.0051568537019193,0.0325233414769172,0.0784690082073211
Lowbidgee Floodplain,NSW,80,2000.0,76,0.038,-34.4,143.6333,7.08e-06,189.8324,0.276018,0.050713,1e+31,1e+31,1.708527,0.207994,821.8487,0.55673,0.03903559595346451,0.0017860401421785,0.0053046778775751,0.0246159341186285
Little Llangothlin Lagoon,NSW,81,2.58,7,2.713178,-30.0833,151.7833,2.77e-07,26.6017,0.853679,0.009964,1e+31,1e+31,1.147963,0.080197,249.7092,0.348497,0.16177348792552948,0.0460468046367168,0.0987504869699478,0.1605801731348037
New England Wetlands,NSW,82,0.3,63,210.0,-30.0333,151.4667,9.23e-05,191.9581,0.727797,0.209442,1e+31,1e+31,1.624349,0.095998,409.2379,0.421712,0.6621079444885254,0.6036079525947571,0.6477161049842834,0.6788735389709473
Round Mountain Swamps,NSW,83,3.0,79,26.33333,-30.4333,152.25,1.53e-05,78.955,1.04396,0.01455,1e+31,1e+31,0.872436,0.089007,186.3956,0.327356,0.14825600385665894,0.0136541463434696,0.0493600592017173,0.1189128682017326
Barrington Tops Swamps,NSW,84,15.0,9,0.6,-32.0,151.3667,2.22e-05,239.14,1.007946,0.05975,1e+31,1e+31,1.392755,0.094277,324.0647,0.435973,0.10472191870212555,0.0117211295291781,0.0418360009789466,0.0952204838395118
Upper Coldstream,NSW,85,19.95,211,10.57644,-29.65,153.0667,0.000146,2.73973,1.207955,33.04229,1e+31,1e+31,1.103911,0.083697,136.4313,0.44734,0.3846355676651001,0.1496641337871551,0.3083080053329468,0.463958591222763
Lake Cowal/Wilbertroy Wetlands,NSW,86,205.0,217,1.058537,-33.4667,147.35,1.82e-05,6.42158,0.431408,8.00092,248.5376,2.550404,1.995022,0.165347,583.223,0.623213,0.5627798438072205,0.4964038431644439,0.537972629070282,0.5791788101196289
Tomneys Plain,NSW,87,0.9,10,11.11111,-35.7333,148.25,8.68e-05,100.573,1.04297,4.77782,1.0162,5.91e-05,1.506516,0.091171,263.6326,0.40215,0.27532759308815,0.0246603451669216,0.1324351876974105,0.3233245313167572
Black Swamp and Coopers Swamp,NSW,88,3.5,47,13.42857,-35.05,145.75,1.32e-05,3.91904,0.409415,0.014614,1e+31,1e+31,2.180631,0.195216,644.6883,0.687425,0.11251167207956314,0.0057526514865458,0.0390358492732048,0.1111220493912696
Great Cumbung Swam,NSW,89,160.0,158,0.9875,-34.2167,143.9167,7.06e-06,5.28323,0.325134,18.81449,486.346,0.043678,1.598658,0.172289,674.2969,0.460211,0.11705348640680313,0.0869784578680992,0.0927042886614799,0.1039054617285728
Koondrook and Perricoota Forests,NSW,90,311.5,435,1.396469,-35.5333,144.1333,1.62e-05,2.35516,0.378907,96.28203,64.6497,0.250151,1e+31,1e+31,1e+31,1e+31,0.27692314982414246,0.2337580174207687,0.252400279045105,0.2757880985736847
Lachlan Swamp,NSW,91,66.0,270,4.090909,-34.0333,144.4167,2.65e-05,2.56154,0.305181,2.881545,3370.13,0.481461,1.681928,0.177102,687.6324,0.502393,0.04163645952939987,0.0016702614957466,0.0046922406181693,0.0214255973696708
Lake Brewster,NSW,92,61.4,91,1.482085,-33.4667,145.9667,2.96e-06,12.1057,0.436426,0.0755,1e+31,1e+31,1.829948,0.204757,956.3725,0.621595,0.19567786157131195,0.159499317407608,0.1708170920610427,0.1874548643827438
Lake Merrimajeel/Murrumbidgil Swamp,NSW,93,3.0,130,43.33333,-33.8167,144.85,5.18e-05,2.64122,0.312987,0.039763,1e+31,1e+31,1.705703,0.241084,825.6262,0.594309,0.033618852496147156,0.0044308546930551,0.0114491200074553,0.0198751967400312
Merrowie Creek (Cuba Dam to Chillichil Swamp),NSW,94,25.0,119,4.76,-34.1667,143.9,6.94e-07,3.27837,0.262448,0.017647,1e+31,1e+31,1.704102,0.25601,981.659,0.558737,0.21669945120811462,0.1231377646327018,0.1644162684679031,0.2203744053840637
Millewa Forest,NSW,95,336.36,766,2.277322,-35.5833,144.8833,0.000134,3.437035,0.479194,0.105198,1e+31,1e+31,2.050521,0.193042,633.1317,0.627094,0.29332104325294495,0.1355112344026565,0.2316296696662902,0.3363539278507232
Werai Forest,NSW,96,112.34,310,2.75948,-35.25,144.35,1.7e-05,6.11792,0.348461,0.935767,641.865,0.557648,1.927422,0.168011,539.1804,0.596045,0.06577490270137787,0.0031187965068966,0.012205178849399,0.0573566183447837
The Salt Lake,NSW,97,58.16,26,0.447043,-30.0333,142.0833,2.01e-20,19.2724,0.193509,0.0,1e+31,1e+31,1.351027,0.206066,605.5702,0.42543,0.011969923041760921,0.0015528539661318,0.0031057079322636,0.0046585616655647
Bega Swamp,NSW,98,0.23,40,173.913,-36.525,149.5083,1.19e-05,251.141,0.774557,0.049309,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.2079443484544754,0.0289637856185436,0.10442665964365,0.2170975357294082
Big Badja Swamp,NSW,99,1.06,1,0.943396,-36.05,149.5333,0.000775,139.294,0.492741,0.810012,1e+31,1e+31,0.735806,0.064383,235.9998,0.291807,0.6374103426933289,0.592017412185669,0.6296781897544861,0.655310332775116
Lake Bathurst,NSW,100,13.5,54,4.0,-35.0167,149.6667,4.81e-08,26.80325,0.655952,0.00116,1e+31,1e+31,1.319157,0.082004,281.3735,0.449623,0.13198210299015045,0.0094827115535736,0.0408525206148624,0.1086978614330291
Lake George,NSW,101,150.0,184,1.226667,-35.2167,149.3667,1.08e-05,36.1625,0.670712,0.015675,1e+31,1e+31,1.994433,0.134854,343.7251,0.632514,0.25709614157676697,0.0879492908716201,0.1788434833288192,0.2851884961128235
Micalong Swamp,NSW,102,5.26,48,9.125475,-35.3333,148.5167,8.34e-06,147.492,0.848944,0.018572,1e+31,1e+31,1.872526,0.102649,341.7668,0.563222,0.19039110839366913,0.0136538920924067,0.0651363804936409,0.1787684559822082
Monaro Lakes,NSW,103,2.15,146,67.90698,-36.0,148.0,0.000638,45.3518,0.633708,3.253655,4.18769,0.990826,1.421352,0.113938,293.2982,0.391615,0.5354418754577637,0.4154167771339416,0.4928271770477295,0.5771268010139465
Yaouk Swamp,NSW,104,0.56,124,221.4286,-35.8167,148.8333,3.31e-05,93.9987,0.906152,0.051135,1e+31,1e+31,0.819766,0.089624,169.9173,0.2807,0.22830957174301147,0.0337061993777751,0.1268752217292785,0.2574602365493774
Botany Wetlands,NSW,105,0.64,26,40.625,-33.9333,151.2167,0.001987,12.86,0.294859,1.64489,1e+31,1e+31,1.09808,0.085431,131.8602,0.736374,0.6610969305038452,0.6243022680282593,0.655418872833252,0.674719512462616
Longneck Lagoon,NSW,106,0.24,111,462.5,-33.5667,150.8833,0.000485,17.7318,0.671079,13.9182,955.245,3.3484,0.908803,0.087165,212.0311,0.312547,0.6301420331001282,0.5695377588272095,0.6142110824584961,0.6457850933074951
OÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂHares Creek Catchment,NSW,107,90.0,2,0.022222,-34.1167,150.8167,0.000101,25.42355,0.869202,1.20236,1e+31,67.6454,1.22337,0.139248,151.5232,0.662663,0.24732686579227448,0.0463377982378006,0.1316147297620773,0.249778613448143
Pitt Town Lagoon,NSW,108,0.41,31,75.60976,-33.6,150.85,0.000156,15.3038,0.829476,0.974134,1830.84,112.017,1.45586,0.119216,360.6363,0.559006,0.36772745847702026,0.1497710347175598,0.292602390050888,0.4442485868930816
Thirlmere Lakes,NSW,109,0.5,121,242.0,-34.2333,150.5333,5e-05,45.084,0.882093,0.038021,1e+31,1e+31,0.761289,0.069113,180.9148,0.376752,0.17979638278484344,0.0145377516746521,0.0678585767745971,0.1627426892518997
Wingecarribee Swamp,NSW,110,6.91,22,3.183792,-34.0667,150.5,3.46e-05,178.072,0.880756,0.032818,1e+31,1e+31,1.352124,0.114241,249.7394,0.52318,0.17500682175159454,0.0123479599133133,0.0612513497471809,0.1553727686405182
Mullawoolka Basin,NSW,111,20.26,18,0.88845,-30.5167,143.8333,-3.51e-13,6.29818,0.227878,1.95e-06,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.009379567578434944,0.0008983490988612,0.0017966981977224,0.0026950472965836
Poloko Lake (Olepoloko Lake),NSW,112,37.22,49,1.316497,-30.7333,143.6667,-5.62e-13,9.50467,0.231499,0.159506,1e+31,1e+31,1.55885,0.281624,929.6086,0.559202,0.008669139817357063,0.0008371479925699,0.0016742959851399,0.0025114440359175
